observation_date,CUURA320SEHA
1977-11-01,64.900
1977-12-01,
1978-01-01,65.800
1978-02-01,
1978-03-01,66.400
1978-04-01,
1978-05-01,66.000
1978-06-01,
1978-07-01,66.800
1978-08-01,
1978-09-01,67.800
1978-10-01,
1978-11-01,67.300
1978-12-01,
1979-01-01,68.200
1979-02-01,
1979-03-01,69.300
1979-04-01,
1979-05-01,70.400
1979-06-01,
1979-07-01,70.500
1979-08-01,
1979-09-01,72.000
1979-10-01,
1979-11-01,73.000
1979-12-01,
1980-01-01,75.000
1980-02-01,
1980-03-01,78.800
1980-04-01,
1980-05-01,79.100
1980-06-01,
1980-07-01,81.700
1980-08-01,
1980-09-01,81.300
1980-10-01,
1980-11-01,84.100
1980-12-01,
1981-01-01,89.200
1981-02-01,
1981-03-01,90.500
1981-04-01,
1981-05-01,91.800
1981-06-01,
1981-07-01,91.400
1981-08-01,
1981-09-01,90.600
1981-10-01,
1981-11-01,94.000
1981-12-01,
1982-01-01,96.200
1982-02-01,
1982-03-01,96.700
1982-04-01,
1982-05-01,98.300
1982-06-01,
1982-07-01,96.100
1982-08-01,
1982-09-01,96.700
1982-10-01,
1982-11-01,98.900
1982-12-01,
1983-01-01,99.900
1983-02-01,
1983-03-01,101.200
1983-04-01,
1983-05-01,99.900
1983-06-01,
1983-07-01,101.500
1983-08-01,
1983-09-01,101.800
1983-10-01,
1983-11-01,101.300
1983-12-01,
1984-01-01,101.500
1984-02-01,
1984-03-01,101.400
1984-04-01,
1984-05-01,101.700
1984-06-01,
1984-07-01,101.400
1984-08-01,
1984-09-01,102.200
1984-10-01,
1984-11-01,101.800
1984-12-01,
1985-01-01,102.300
1985-02-01,
1985-03-01,102.100
1985-04-01,
1985-05-01,103.500
1985-06-01,
1985-07-01,103.600
1985-08-01,
1985-09-01,106.200
1985-10-01,
1985-11-01,105.300
1985-12-01,
1986-01-01,105.200
1986-02-01,
1986-03-01,106.100
1986-04-01,
1986-05-01,105.900
1986-06-01,
1986-07-01,106.300
1986-08-01,
1986-09-01,106.700
1986-10-01,
1986-11-01,106.400
1986-12-01,106.600
1987-01-01,106.800
1987-02-01,106.700
1987-03-01,107.400
1987-04-01,107.400
1987-05-01,107.100
1987-06-01,106.800
1987-07-01,108.200
1987-08-01,108.100
1987-09-01,108.100
1987-10-01,108.700
1987-11-01,108.700
1987-12-01,108.600
1988-01-01,110.100
1988-02-01,110.300
1988-03-01,109.000
1988-04-01,110.200
1988-05-01,110.800
1988-06-01,111.000
1988-07-01,111.000
1988-08-01,110.900
1988-09-01,113.600
1988-10-01,113.200
1988-11-01,112.600
1988-12-01,112.700
1989-01-01,112.600
1989-02-01,113.000
1989-03-01,112.000
1989-04-01,116.400
1989-05-01,116.000
1989-06-01,115.600
1989-07-01,115.100
1989-08-01,115.600
1989-09-01,113.500
1989-10-01,114.800
1989-11-01,115.400
1989-12-01,115.400
1990-01-01,115.500
1990-02-01,115.600
1990-03-01,112.500
1990-04-01,115.600
1990-05-01,115.600
1990-06-01,117.400
1990-07-01,119.000
1990-08-01,119.100
