observation_date,CUURA316SEHA
1963-11-01,40.200
1963-12-01,
1964-01-01,
1964-02-01,40.300
1964-03-01,
1964-04-01,
1964-05-01,40.300
1964-06-01,
1964-07-01,
1964-08-01,40.200
1964-09-01,
1964-10-01,
1964-11-01,40.300
1964-12-01,
1965-01-01,
1965-02-01,40.300
1965-03-01,
1965-04-01,
1965-05-01,40.300
1965-06-01,
1965-07-01,
1965-08-01,39.900
1965-09-01,
1965-10-01,
1965-11-01,40.000
1965-12-01,
1966-01-01,
1966-02-01,40.100
1966-03-01,
1966-04-01,
1966-05-01,40.000
1966-06-01,
1966-07-01,
1966-08-01,40.300
1966-09-01,
1966-10-01,
1966-11-01,40.200
1966-12-01,
1967-01-01,
1967-02-01,40.500
1967-03-01,
1967-04-01,
1967-05-01,40.600
1967-06-01,
1967-07-01,
1967-08-01,40.800
1967-09-01,
1967-10-01,
1967-11-01,41.100
1967-12-01,
1968-01-01,
1968-02-01,41.400
1968-03-01,
1968-04-01,
1968-05-01,41.600
1968-06-01,
1968-07-01,
1968-08-01,42.000
1968-09-01,
1968-10-01,
1968-11-01,42.300
1968-12-01,
1969-01-01,
1969-02-01,42.500
1969-03-01,
1969-04-01,
1969-05-01,43.000
1969-06-01,
1969-07-01,
1969-08-01,43.400
1969-09-01,
1969-10-01,
1969-11-01,43.900
1969-12-01,
1970-01-01,
1970-02-01,44.500
1970-03-01,
1970-04-01,
1970-05-01,44.800
1970-06-01,
1970-07-01,
1970-08-01,45.000
1970-09-01,
1970-10-01,
1970-11-01,45.300
1970-12-01,
1971-01-01,
1971-02-01,45.400
1971-03-01,
1971-04-01,
1971-05-01,45.500
1971-06-01,
1971-07-01,
1971-08-01,45.500
1971-09-01,
1971-10-01,
1971-11-01,45.400
1971-12-01,
1972-01-01,
1972-02-01,45.500
1972-03-01,
1972-04-01,
1972-05-01,45.500
1972-06-01,
1972-07-01,
1972-08-01,45.500
1972-09-01,
1972-10-01,
1972-11-01,45.700
1972-12-01,
1973-01-01,
1973-02-01,45.800
1973-03-01,
1973-04-01,
1973-05-01,46.000
1973-06-01,
1973-07-01,
1973-08-01,46.300
1973-09-01,
1973-10-01,
1973-11-01,46.700
1973-12-01,
1974-01-01,
1974-02-01,47.100
1974-03-01,
1974-04-01,
1974-05-01,47.400
1974-06-01,
1974-07-01,
1974-08-01,47.700
1974-09-01,
1974-10-01,
1974-11-01,48.300
1974-12-01,
1975-01-01,
1975-02-01,48.800
1975-03-01,
1975-04-01,
1975-05-01,49.400
1975-06-01,
1975-07-01,
1975-08-01,50.000
1975-09-01,
1975-10-01,
1975-11-01,50.800
1975-12-01,
1976-01-01,
1976-02-01,51.500
1976-03-01,
1976-04-01,
1976-05-01,52.200
1976-06-01,
1976-07-01,
1976-08-01,53.000
1976-09-01,
1976-10-01,
1976-11-01,53.800
1976-12-01,
1977-01-01,
1977-02-01,55.200
1977-03-01,
1977-04-01,
1977-05-01,56.600
1977-06-01,
1977-07-01,
1977-08-01,57.800
1977-09-01,
1977-10-01,
1977-11-01,59.100
1977-12-01,
1978-01-01,
1978-02-01,60.600
1978-03-01,
1978-04-01,61.800
1978-05-01,
1978-06-01,62.600
1978-07-01,
1978-08-01,64.300
1978-09-01,
1978-10-01,66.000
1978-11-01,
1978-12-01,66.600
1979-01-01,
1979-02-01,68.400
1979-03-01,
1979-04-01,69.300
1979-05-01,
1979-06-01,69.800
1979-07-01,
1979-08-01,70.800
1979-09-01,
1979-10-01,72.200
1979-11-01,
1979-12-01,73.200
1980-01-01,
1980-02-01,75.000
1980-03-01,
1980-04-01,76.000
1980-05-01,
1980-06-01,76.900
1980-07-01,
1980-08-01,78.200
