HUD Metro Fair Market Rent Area Name,CBSASub24,HUD,Realpage,Zillow,Realpage Market Share,Avg of Rents
"Walla Walla, WA",47460,1140.89,1553.75,1362.53,12.70386266,1352
"Medford, OR",32780,1185.94,1552,1458.07,,1399
"Richmond, VA",40060,1622.25,1543.66,1548.32,9.929295124,1571
"Great Falls, MT",24500,895,1539,1124.6,4.460966543,1186
"St. George, UT",41100,1204.67,1537.2,1573.88,6.544850498,1439
"Anchorage, AK",11260,1302.2,1532.12,1482.61,,1439
"Myrtle Beach-North Myrtle Beach-Conway, SC",34820,1233.9,1528.39,1663.74,,1475
"Cleveland, TN",17420,943.3,1527.12,1441.9,1.577669903,1304
"Palm Bay-Melbourne-Titusville, FL",37340,1494.64,1524.88,1686.61,10.04099153,1569
"Trenton, NJ",45940,1786.94,1523,2385.08,,1898
"Chico, CA",17020,1145.74,1513.14,1453.41,10.56812871,1371
"Austin-Round Rock, TX",12420,1744.59,1513.11,1511.8,,1590
"Buffalo-Cheektowaga-Niagara Falls, NY",15380,1054.94,1505.82,1272.79,,1278
"Rochester, NY",40380,1186.98,1504.91,1414.24,,1369
"Cincinnati, OH-KY-IN ",17140,1054.36,1504.08,1390.25,,1316
"Bakersfield, CA",12540,1211.38,1500.48,1405.25,,1372
"Minneapolis-St. Paul-Bloomington, MN-WI",33460,1472.73,1500.4,1550.47,,1508
"Knoxville, TN",28940,1315.89,1500.33,1577.79,,1465
"Ocala, FL",36100,1159.42,1497.22,1412.56,2.38948626,1356
"Erie, PA",21500,896.21,1496.2,831.32,,1075
"Coeur d'Alene, ID",17660,1242.25,1496.18,1573.46,12.15903837,1437
"Phoenix-Mesa-Scottsdale, AZ",38060,1833.91,1495.28,1551.61,,1627
"Wilmington, NC",48900,1530.73,1489.42,1472.56,,1498
"Brunswick County, NC",48900,1201.6,1489.42,1472.56,,1388
"Yuba City, CA",49700,1299.58,1486,1355.17,,1380
"Logan, UT-ID",30860,954.62,1483.21,1057.09,,1165
"Mankato-North Mankato, MN",31860,995.2,1481.5,1071.49,,1183
"Lebanon, PA",30140,1075.3,1473.4,1242.02,3.036238981,1264
"Lakeland-Winter Haven, FL",29460,1205.72,1470.91,1640.5,15.19531922,1439
"Billings, MT",13740,998.84,1470,1169.9,,1213
"Wausau, WI",48140,819.31,1464,870.28,,1051
"York-Hanover, PA",49620,1132.96,1456.05,1067.89,2.265712222,1219
"Gainesville, GA",23580,1438.05,1454.78,1570.81,34.42480942,1488
"Vineland-Bridgeton, NJ",47220,1365.6,1453,1704.91,,1508
"Mansfield, OH",31900,805.4,1451,746.74,,1001
"Pensacola-Ferry Pass-Brent, FL",37860,1427.74,1450.48,1523.01,9.039181792,1467
"Salem, OR",41420,1352.43,1446.89,1500.11,3.124265126,1433
"Colorado Springs, CO",17820,1636.23,1438.32,1530.68,,1535
"Albany, OR",10540,1273.74,1436.33,1482.7,,1398
"Appleton, WI",11540,901.5,1432.7,1041.35,,1125
"Gainesville, FL",23540,1331.37,1423.06,1525.32,,1427
"Hickory-Lenoir-Morganton, NC",25860,935.14,1414.75,1302.38,0.809615224,1217
"Las Vegas-Henderson-Paradise, NV",29820,1590.82,1411.84,1526.74,,1510
"Roanoke, VA",40220,970.1,1407.1,1266.5,,1215
