company_name,building_name,raw_address
Mid America Apartments,MAA Carrollwood,"14009 Clubhouse Circle, Tampa, FL 33618"
Mid America Apartments,MAA Lenox,"600 Phipps Boulevard, Atlanta, GA 30326"
Mid America Apartments,MAA River Oaks,"4400 Pleasant Hill Road, Duluth, GA 30096"
Mid America Apartments,MAA Lake Lanier,"1701 Dawsonville Hwy, Gainesville, GA 30501"
Mid America Apartments,MAA Milstead,"3355 George Busbee Pkwy, Kennesaw, GA 30144"
Mid America Apartments,MAA Prescott,"1655 Centerview Drive, Duluth, GA 30096"
Mid America Apartments,MAA Chastain,"4090 Roswell Road NE, Atlanta, GA 30342"
Mid America Apartments,MAA Gardens,"1020 Lenox Park Blvd NE, Atlanta, GA 30319"
Mid America Apartments,MAA Peachtree Hills,"350 Peachtree Hills Ave NE, Atlanta, GA 30305"
Mid America Apartments,MAA McDaniel Farm,"3355 McDaniel Road, Duluth, GA 30096"
Mid America Apartments,MAA Glen,"4120 Peachtree Rd NE, Atlanta, GA 30319"
Mid America Apartments,MAA Briarcliff,"500 Briarvista Way, Atlanta, GA 30329"
Mid America Apartments,MAA Midtown,"33 11th Street, Atlanta, GA 30309"
Mid America Apartments,MAA Barrett Creek,"2400 Barrett Creek Boulevard, Marietta, GA 30066"
Mid America Apartments,MAA Buckhead,"360 Pharr Rd, Atlanta, GA 30305"
Mid America Apartments,MAA Brookhaven,"2829 Caldwell Road, Atlanta, GA 30319"
Mid America Apartments,MAA River Place,"4130 Plantation Trace Drive, Duluth, GA 30096"
Mid America Apartments,MAA Centennial Park,"305 Centennial Olympic Park Dr, Atlanta, GA 30313"
Mid America Apartments,MAA Shiloh,"1750 Shiloh Road NW, Kennesaw, GA 30144"
Mid America Apartments,MAA Stratford,"3400 Stratford Road, Atlanta, GA 30326"
Mid America Apartments,MAA Brookwood,"40 Peachtree Valley Road NE, Atlanta, GA 30309"
Mid America Apartments,MAA Berkeley Lake,"100 Bradford Creek Trail, Duluth, GA 30096"
Mid America Apartments,MAA Riverside,"4403 Northside Pkwy., Atlanta, GA 30327"
Mid America Apartments,MAA West Village,"4600 West Village Place, Smyrna, GA 30080"
Mid America Apartments,MAA Oglethorpe,"3070 Ashford Dunwoody Rd, Atlanta, GA 30319"
Mid America Apartments,MAA Dunwoody,"4777 Ashford Dunwoody Road, Atlanta, GA 30338"
Mid America Apartments,MAA Pleasant Hill,"2500 Pleasant Hill Road, Duluth, GA 30096"
Mid America Apartments,MAA Spring,"3375 Spring Hill Pkwy, SE, Smyrna, GA 30080"
Mid America Apartments,MAA Piedmont Park,"250 10th Street, NE, Atlanta, GA 30309"
Mid America Apartments,MAA Mount Vernon,"100 Preston Woods Trail, Sandy Springs, GA 30338"
Mid America Apartments,MAA Georgetown Grove,"1800 Grove Point Rd., Savannah, GA 31419"
Mid America Apartments,MAA Benton,"1475 Benton Blvd, Savannah, GA 31407"
Mid America Apartments,MAA Wilmington Island,"909 Penn Waller Rd, Savannah, GA 31410"
Mid America Apartments,MAA Avala,"300 Blue Moon Crossing, Pooler, GA 31322"
Mid America Apartments,MAA Hammocks,"25 Johnny Mercer Blvd, Savannah, GA 31410"
Mid America Apartments,MAA Huntington,"505 Mall Blvd, Savannah, GA 31406"
Mid America Apartments,MAA Prairie Trace,"13601 Foster Street, Overland Park, KS 66223"
Mid America Apartments,MAA Lakepointe,"2334 Lake Park Rd., Lexington, KY 40502"
Mid America Apartments,MAA Village,"151 S. Locust Hill Dr., Lexington, KY 40517"
Mid America Apartments,MAA Pinnacle,"4390 Clearwater  Way, Lexington, KY 40515"
Mid America Apartments,MAA Mansion,"3820 Nicholasville Rd., Lexington, KY 40503"
Mid America Apartments,MAA Westport,"850 Washburn Ave., Louisville, KY 40222"
Mid America Apartments,MAA Fallsgrove,"102 Fallsgrove Boulevard, Rockville, MD 20850"
Mid America Apartments,MAA Denton Pointe,"5951 NW 63rd Terrace, Kansas City, MO 64151"
Mid America Apartments,MAA The Station,"240 W 2nd Street, Kansas City, MO 64105"
Mid America Apartments,MAA Palm Vista,"6300 McCarran Street, North Las Vegas, NV 89081"
Mid America Apartments,MAA Desert Vista,"3305 E. Rome Boulevard, North Las Vegas, NV 89086"
